procurement_id,booking_id,farmer_id,centre_id,crop_grade,quantity_qtl,quality_status,gross_msp_value_inr,procurement_date
P00001,B00001,F0043,C004,paddy_grade_a,13,quality_hold,30797,2026-10-11
P00002,B00002,F0018,C004,paddy_common,34,accepted,80546,2026-10-21
P00003,B00003,F0019,C004,paddy_grade_a,32,quality_hold,75808,2026-10-08
P00004,B00004,F0068,C002,paddy_grade_a,21,quality_hold,49749,2026-11-01
P00005,B00005,F0042,C004,paddy_common,13,accepted,30797,2026-10-17
P00006,B00006,F0038,C001,paddy_grade_a,29,quality_hold,68701,2026-11-23
P00007,B00007,F0032,C002,paddy_common,32,accepted,75808,2026-11-01
P00008,B00008,F0028,C001,paddy_common,6,accepted,14214,2026-11-22
P00009,B00009,F0025,C004,paddy_common,17,accepted,40273,2026-10-14
P00010,B00010,F0076,C003,paddy_grade_a,31,quality_hold,73439,2026-10-30
P00011,B00011,F0020,C001,paddy_common,25,accepted,59225,2026-11-28
P00012,B00012,F0050,C004,paddy_common,16,accepted,37904,2026-10-13
P00013,B00013,F0036,C004,paddy_common,7,quality_hold,16583,2026-10-20
P00014,B00014,F0074,C001,paddy_common,35,accepted,82915,2026-11-26
P00015,B00015,F0096,C001,paddy_common,8,accepted,18952,2026-11-27
P00016,B00016,F0024,C003,paddy_common,19,accepted,45011,2026-11-12
P00017,B00017,F0058,C003,paddy_grade_a,21,accepted,49749,2026-11-29
P00018,B00018,F0011,C003,paddy_grade_a,22,accepted,52118,2026-10-10
P00019,B00019,F0065,C004,paddy_grade_a,17,accepted,40273,2026-10-29
P00020,B00020,F0048,C001,paddy_common,13,quality_hold,30797,2026-10-25
P00021,B00021,F0055,C002,paddy_grade_a,28,accepted,66332,2026-10-26
P00022,B00022,F0077,C003,paddy_grade_a,10,quality_hold,23690,2026-10-28
P00023,B00023,F0088,C001,paddy_common,8,accepted,18952,2026-10-15
P00024,B00024,F0007,C001,paddy_grade_a,8,accepted,18952,2026-10-05
P00025,B00025,F0013,C003,paddy_common,22,quality_hold,52118,2026-11-14
P00026,B00026,F0052,C004,paddy_grade_a,27,accepted,63963,2026-10-15
P00027,B00027,F0089,C003,paddy_grade_a,28,accepted,66332,2026-10-11
P00028,B00028,F0027,C003,paddy_grade_a,30,quality_hold,71070,2026-11-08
P00029,B00029,F0094,C001,paddy_common,14,accepted,33166,2026-11-02
P00030,B00030,F0090,C004,paddy_grade_a,34,quality_hold,80546,2026-10-16
P00031,B00031,F0041,C001,paddy_common,10,accepted,23690,2026-10-22
P00032,B00032,F0059,C002,paddy_common,33,quality_hold,78177,2026-10-31
P00033,B00033,F0043,C001,paddy_common,18,accepted,42642,2026-11-26
P00034,B00034,F0022,C001,paddy_grade_a,7,accepted,16583,2026-11-07
P00035,B00035,F0063,C002,paddy_grade_a,5,accepted,11845,2026-10-03
